name,race,pick_name,pick_index,pick_race,names,races,same_race
Sidney,Multiracial,Parker,4,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['White' 'Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern']",True
Sidney,Multiracial,Morgan,5,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Middle Eastern' 'White' 'Native American' 'Asian' 'Hispanic'
 'Multiracial' 'Black' 'Pacific Islander']",True
Sidney,Multiracial,Casey,6,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Pacific Islander' 'Middle Eastern' 'White' 'Native American' 'Asian'
 'Hispanic' 'Multiracial' 'Black']",True
Sidney,Multiracial,Ellis,7,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Black' 'Pacific Islander' 'Middle Eastern' 'White' 'Native American'
 'Asian' 'Hispanic' 'Multiracial']",True
Sidney,Multiracial,Kendall,0,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern' 'White'
 'Native American' 'Asian' 'Hispanic']",True
Sidney,Multiracial,Dakota,1,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Hispanic' 'Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern'
 'White' 'Native American' 'Asian']",True
Sidney,Black,Jules,2,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Asian' 'Hispanic' 'Multiracial' 'Black' 'Pacific Islander'
 'Middle Eastern' 'White' 'Native American']",False
Sidney,Black,Parker,4,Black,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern' 'White']",True
Sidney,Black,Morgan,5,Black,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['White' 'Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern']",True
Sidney,Black,Morgan,5,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Middle Eastern' 'White' 'Native American' 'Asian' 'Hispanic'
 'Multiracial' 'Black' 'Pacific Islander']",False
Sidney,Black,Ellis,7,Black,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Pacific Islander' 'Middle Eastern' 'White' 'Native American' 'Asian'
 'Hispanic' 'Multiracial' 'Black']",True
Sidney,Black,Kendall,0,Black,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Black' 'Pacific Islander' 'Middle Eastern' 'White' 'Native American'
 'Asian' 'Hispanic' 'Multiracial']",True
Sidney,Black,Dakota,1,Black,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern' 'White'
 'Native American' 'Asian' 'Hispanic']",True
Sidney,Black,Jules,2,Black,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Hispanic' 'Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern'
 'White' 'Native American' 'Asian']",True
Sidney,Pacific Islander,Parker,4,Pacific Islander,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Asian' 'Hispanic' 'Multiracial' 'Black' 'Pacific Islander'
 'Middle Eastern' 'White' 'Native American']",True
Sidney,Pacific Islander,Morgan,5,Pacific Islander,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern' 'White']",True
Sidney,Pacific Islander,Casey,6,Pacific Islander,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['White' 'Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern']",True
Sidney,Pacific Islander,Ellis,7,Pacific Islander,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Middle Eastern' 'White' 'Native American' 'Asian' 'Hispanic'
 'Multiracial' 'Black' 'Pacific Islander']",True
Sidney,Pacific Islander,Kendall,0,Pacific Islander,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Pacific Islander' 'Middle Eastern' 'White' 'Native American' 'Asian'
 'Hispanic' 'Multiracial' 'Black']",True
Sidney,Pacific Islander,Dakota,1,Pacific Islander,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Black' 'Pacific Islander' 'Middle Eastern' 'White' 'Native American'
 'Asian' 'Hispanic' 'Multiracial']",True
Sidney,Pacific Islander,Jules,2,Pacific Islander,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern' 'White'
 'Native American' 'Asian' 'Hispanic']",True
Sidney,Pacific Islander,Jordan,3,Pacific Islander,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Hispanic' 'Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern'
 'White' 'Native American' 'Asian']",True
Sidney,Middle Eastern,Morgan,5,Middle Eastern,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Asian' 'Hispanic' 'Multiracial' 'Black' 'Pacific Islander'
 'Middle Eastern' 'White' 'Native American']",True
Sidney,Middle Eastern,Casey,6,Middle Eastern,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern' 'White']",True
Sidney,Middle Eastern,Ellis,7,Middle Eastern,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['White' 'Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern']",True
Sidney,Middle Eastern,Kendall,0,Middle Eastern,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Middle Eastern' 'White' 'Native American' 'Asian' 'Hispanic'
 'Multiracial' 'Black' 'Pacific Islander']",True
Sidney,Middle Eastern,Dakota,1,Middle Eastern,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Pacific Islander' 'Middle Eastern' 'White' 'Native American' 'Asian'
 'Hispanic' 'Multiracial' 'Black']",True
Sidney,Middle Eastern,Jules,2,Middle Eastern,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Black' 'Pacific Islander' 'Middle Eastern' 'White' 'Native American'
 'Asian' 'Hispanic' 'Multiracial']",True
Sidney,Middle Eastern,Jordan,3,Middle Eastern,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern' 'White'
 'Native American' 'Asian' 'Hispanic']",True
Sidney,Middle Eastern,Parker,4,Middle Eastern,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Hispanic' 'Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern'
 'White' 'Native American' 'Asian']",True
Sidney,White,Jules,2,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Asian' 'Hispanic' 'Multiracial' 'Black' 'Pacific Islander'
 'Middle Eastern' 'White' 'Native American']",False
Sidney,White,Ellis,7,White,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern' 'White']",True
Sidney,White,Parker,4,Multiracial,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['White' 'Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern']",False
Sidney,White,Dakota,1,White,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Middle Eastern' 'White' 'Native American' 'Asian' 'Hispanic'
 'Multiracial' 'Black' 'Pacific Islander']",True
Sidney,White,Jules,2,White,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Pacific Islander' 'Middle Eastern' 'White' 'Native American' 'Asian'
 'Hispanic' 'Multiracial' 'Black']",True
Sidney,White,Jordan,3,White,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Black' 'Pacific Islander' 'Middle Eastern' 'White' 'Native American'
 'Asian' 'Hispanic' 'Multiracial']",True
Sidney,White,Parker,4,White,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern' 'White'
 'Native American' 'Asian' 'Hispanic']",True
Sidney,White,Morgan,5,White,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Hispanic' 'Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern'
 'White' 'Native American' 'Asian']",True
Sidney,Native American,Ellis,7,Native American,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Asian' 'Hispanic' 'Multiracial' 'Black' 'Pacific Islander'
 'Middle Eastern' 'White' 'Native American']",True
Sidney,Native American,Kendall,0,Native American,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern' 'White']",True
Sidney,Native American,Dakota,1,Native American,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['White' 'Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern']",True
Sidney,Native American,Jules,2,Native American,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Middle Eastern' 'White' 'Native American' 'Asian' 'Hispanic'
 'Multiracial' 'Black' 'Pacific Islander']",True
Sidney,Native American,Jordan,3,Native American,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Pacific Islander' 'Middle Eastern' 'White' 'Native American' 'Asian'
 'Hispanic' 'Multiracial' 'Black']",True
Sidney,Native American,Parker,4,Native American,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Black' 'Pacific Islander' 'Middle Eastern' 'White' 'Native American'
 'Asian' 'Hispanic' 'Multiracial']",True
Sidney,Native American,Morgan,5,Native American,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern' 'White'
 'Native American' 'Asian' 'Hispanic']",True
Sidney,Native American,Casey,6,Native American,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Hispanic' 'Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern'
 'White' 'Native American' 'Asian']",True
Sidney,Asian,Kendall,0,Asian,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Asian' 'Hispanic' 'Multiracial' 'Black' 'Pacific Islander'
 'Middle Eastern' 'White' 'Native American']",True
Sidney,Asian,Dakota,1,Asian,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern' 'White']",True
Sidney,Asian,Jules,2,Asian,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['White' 'Native American' 'Asian' 'Hispanic' 'Multiracial' 'Black'
 'Pacific Islander' 'Middle Eastern']",True
Sidney,Asian,Jordan,3,Asian,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Middle Eastern' 'White' 'Native American' 'Asian' 'Hispanic'
 'Multiracial' 'Black' 'Pacific Islander']",True
Sidney,Asian,Parker,4,Asian,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Pacific Islander' 'Middle Eastern' 'White' 'Native American' 'Asian'
 'Hispanic' 'Multiracial' 'Black']",True
Sidney,Asian,Morgan,5,Asian,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Black' 'Pacific Islander' 'Middle Eastern' 'White' 'Native American'
 'Asian' 'Hispanic' 'Multiracial']",True
Sidney,Asian,Casey,6,Asian,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern' 'White'
 'Native American' 'Asian' 'Hispanic']",True
Sidney,Asian,Ellis,7,Asian,"['Kendall', 'Dakota', 'Jules', 'Jordan', 'Parker', 'Morgan', 'Casey', 'Ellis']","['Hispanic' 'Multiracial' 'Black' 'Pacific Islander' 'Middle Eastern'
 'White' 'Native American' 'Asian']",True
Jamie,White,Blaze,1,White,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Black' 'White' 'Hispanic' 'Native American' 'Multiracial'
 'Middle Eastern' 'Asian' 'Pacific Islander']",True
Jamie,White,Kris,2,White,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern' 'Asian']",True
Jamie,White,Quinn,6,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern']",False
Jamie,White,Rowan,4,White,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic'
 'Native American' 'Multiracial']",True
Jamie,White,Tatum,5,White,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Multiracial' 'Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White'
 'Hispanic' 'Native American']",True
Jamie,White,Quinn,6,White,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Native American' 'Multiracial' 'Middle Eastern' 'Asian'
 'Pacific Islander' 'Black' 'White' 'Hispanic']",True
Jamie,White,Jordan,7,White,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Hispanic' 'Native American' 'Multiracial' 'Middle Eastern' 'Asian'
 'Pacific Islander' 'Black' 'White']",True
Jamie,White,Parker,3,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['White' 'Hispanic' 'Native American' 'Multiracial' 'Middle Eastern'
 'Asian' 'Pacific Islander' 'Black']",False
Jamie,Hispanic,Kris,2,Hispanic,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Black' 'White' 'Hispanic' 'Native American' 'Multiracial'
 'Middle Eastern' 'Asian' 'Pacific Islander']",True
Jamie,Hispanic,Parker,3,Hispanic,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern' 'Asian']",True
Jamie,Hispanic,Rowan,4,Hispanic,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern']",True
Jamie,Hispanic,Tatum,5,Hispanic,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic'
 'Native American' 'Multiracial']",True
Jamie,Hispanic,Quinn,6,Hispanic,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Multiracial' 'Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White'
 'Hispanic' 'Native American']",True
Jamie,Hispanic,Jordan,7,Hispanic,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Native American' 'Multiracial' 'Middle Eastern' 'Asian'
 'Pacific Islander' 'Black' 'White' 'Hispanic']",True
Jamie,Hispanic,Jordyn,0,Hispanic,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Hispanic' 'Native American' 'Multiracial' 'Middle Eastern' 'Asian'
 'Pacific Islander' 'Black' 'White']",True
Jamie,Hispanic,Blaze,1,Hispanic,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['White' 'Hispanic' 'Native American' 'Multiracial' 'Middle Eastern'
 'Asian' 'Pacific Islander' 'Black']",True
Jamie,Native American,Parker,3,Native American,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Black' 'White' 'Hispanic' 'Native American' 'Multiracial'
 'Middle Eastern' 'Asian' 'Pacific Islander']",True
Jamie,Native American,Rowan,4,Native American,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern' 'Asian']",True
Jamie,Native American,Tatum,5,Native American,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern']",True
Jamie,Native American,Quinn,6,Native American,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic'
 'Native American' 'Multiracial']",True
Jamie,Native American,Jordan,7,Native American,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Multiracial' 'Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White'
 'Hispanic' 'Native American']",True
Jamie,Native American,Jordyn,0,Native American,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Native American' 'Multiracial' 'Middle Eastern' 'Asian'
 'Pacific Islander' 'Black' 'White' 'Hispanic']",True
Jamie,Native American,Blaze,1,Native American,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Hispanic' 'Native American' 'Multiracial' 'Middle Eastern' 'Asian'
 'Pacific Islander' 'Black' 'White']",True
Jamie,Native American,Kris,2,Native American,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['White' 'Hispanic' 'Native American' 'Multiracial' 'Middle Eastern'
 'Asian' 'Pacific Islander' 'Black']",True
Jamie,Multiracial,Rowan,4,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Black' 'White' 'Hispanic' 'Native American' 'Multiracial'
 'Middle Eastern' 'Asian' 'Pacific Islander']",True
Jamie,Multiracial,Tatum,5,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern' 'Asian']",True
Jamie,Multiracial,Quinn,6,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern']",True
Jamie,Multiracial,Jordan,7,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic'
 'Native American' 'Multiracial']",True
Jamie,Multiracial,Jordyn,0,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Multiracial' 'Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White'
 'Hispanic' 'Native American']",True
Jamie,Multiracial,Blaze,1,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Native American' 'Multiracial' 'Middle Eastern' 'Asian'
 'Pacific Islander' 'Black' 'White' 'Hispanic']",True
Jamie,Multiracial,Kris,2,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Hispanic' 'Native American' 'Multiracial' 'Middle Eastern' 'Asian'
 'Pacific Islander' 'Black' 'White']",True
Jamie,Multiracial,Parker,3,Multiracial,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['White' 'Hispanic' 'Native American' 'Multiracial' 'Middle Eastern'
 'Asian' 'Pacific Islander' 'Black']",True
Jamie,Middle Eastern,Tatum,5,Middle Eastern,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Black' 'White' 'Hispanic' 'Native American' 'Multiracial'
 'Middle Eastern' 'Asian' 'Pacific Islander']",True
Jamie,Middle Eastern,Quinn,6,Middle Eastern,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern' 'Asian']",True
Jamie,Middle Eastern,Jordan,7,Middle Eastern,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic' 'Native American'
 'Multiracial' 'Middle Eastern']",True
Jamie,Middle Eastern,Jordyn,0,Middle Eastern,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White' 'Hispanic'
 'Native American' 'Multiracial']",True
Jamie,Middle Eastern,Blaze,1,Middle Eastern,"['Jordyn', 'Blaze', 'Kris', 'Parker', 'Rowan', 'Tatum', 'Quinn', 'Jordan']","['Multiracial' 'Middle Eastern' 'Asian' 'Pacific Islander' 'Black' 'White'
 'Hispanic' 'Native American']",True
